2021-04-15 11:59:20,028: 'b'
2021-04-15 11:59:24,568: 'b'
2021-04-15 11:59:50,580: Key.shift_r
2021-04-15 11:59:50,733: 'T'
2021-04-15 11:59:51,001: 'u'
2021-04-15 11:59:51,102: Key.space
2021-04-15 11:59:51,262: 'p'
2021-04-15 11:59:51,416: 'e'
2021-04-15 11:59:51,519: 'u'
2021-04-15 11:59:51,683: 'x'
2021-04-15 11:59:51,846: Key.space
2021-04-15 11:59:53,302: Key.backspace
2021-04-15 11:59:53,800: Key.backspace
2021-04-15 11:59:53,833: Key.backspace
2021-04-15 11:59:53,866: Key.backspace
2021-04-15 11:59:53,899: Key.backspace
2021-04-15 11:59:53,932: Key.backspace
2021-04-15 11:59:53,965: Key.backspace
2021-04-15 11:59:53,998: Key.backspace
2021-04-15 11:59:54,031: Key.backspace
2021-04-15 11:59:54,063: Key.backspace
2021-04-15 11:59:54,096: Key.backspace
2021-04-15 11:59:54,129: Key.backspace
2021-04-15 11:59:54,162: Key.backspace
2021-04-15 11:59:54,195: Key.backspace
2021-04-15 11:59:54,228: Key.backspace
2021-04-15 11:59:54,261: Key.backspace
2021-04-15 11:59:54,515: Key.shift_r
2021-04-15 11:59:54,565: 'J'
2021-04-15 11:59:54,776: "'"
2021-04-15 11:59:55,068: 'a'
2021-04-15 11:59:55,165: 'i'
2021-04-15 11:59:55,260: Key.space
2021-04-15 11:59:55,725: 'b'
2021-04-15 11:59:55,858: 'e'
2021-04-15 11:59:56,070: 's'
2021-04-15 11:59:56,167: 'o'
2021-04-15 11:59:56,315: 'i'
2021-04-15 11:59:56,496: 'n'
2021-04-15 11:59:56,584: Key.space
2021-04-15 11:59:59,775: 'g'
2021-04-15 11:59:59,934: 'o'
2021-04-15 12:00:00,076: 'o'
2021-04-15 12:00:00,314: Key.enter
2021-04-15 12:00:23,688: Key.backspace
2021-04-15 12:00:24,186: Key.backspace
2021-04-15 12:00:24,219: Key.backspace
2021-04-15 12:00:24,252: Key.backspace
2021-04-15 12:00:24,285: Key.backspace
2021-04-15 12:00:24,428: Key.backspace
2021-04-15 12:00:24,585: Key.backspace
2021-04-15 12:00:24,719: Key.backspace
2021-04-15 12:00:24,924: Key.backspace
2021-04-15 12:00:25,073: Key.backspace
2021-04-15 12:00:25,509: Key.backspace
2021-04-15 12:00:25,640: 'e'
2021-04-15 12:00:25,776: Key.space
2021-04-15 12:00:26,051: 'v'
2021-04-15 12:00:26,207: 'a'
2021-04-15 12:00:26,335: 'i'
2021-04-15 12:00:26,490: 's'
2021-04-15 12:00:26,572: Key.space
2021-04-15 12:00:26,782: 'e'
2021-04-15 12:00:26,987: 's'
2021-04-15 12:00:27,112: 's'
2021-04-15 12:00:27,317: 'a'
2021-04-15 12:00:27,373: 'y'
2021-04-15 12:00:27,577: 'e'
2021-04-15 12:00:27,729: Key.space
2021-04-15 12:00:27,758: 'r'
2021-04-15 12:00:28,172: Key.backspace
2021-04-15 12:00:28,304: Key.backspace
2021-04-15 12:00:28,436: 'r'
2021-04-15 12:00:28,660: Key.space
2021-04-15 12:00:28,738: 'd'
2021-04-15 12:00:28,900: 'e'
2021-04-15 12:00:28,970: Key.space
2021-04-15 12:00:29,385: 'p'
2021-04-15 12:00:29,581: 'o'
2021-04-15 12:00:29,728: 's'
2021-04-15 12:00:30,078: 't'
2021-04-15 12:00:30,467: 'u'
2021-04-15 12:00:30,721: 'l'
2021-04-15 12:00:30,787: 'e'
2021-04-15 12:00:30,953: 'r'
2021-04-15 12:00:31,519: Key.space
2021-04-15 12:00:31,755: 'p'
2021-04-15 12:00:31,984: 'o'
2021-04-15 12:00:32,236: 'u'
2021-04-15 12:00:32,457: 'r'
2021-04-15 12:00:32,577: Key.space
2021-04-15 12:00:32,803: 'c'
2021-04-15 12:00:33,024: 'e'
2021-04-15 12:00:33,111: 't'
2021-04-15 12:00:33,244: 't'
2021-04-15 12:00:33,330: 'e'
2021-04-15 12:00:33,442: Key.space
2021-04-15 12:00:34,179: 'f'
2021-04-15 12:00:34,369: 'o'
2021-04-15 12:00:34,469: 'r'
2021-04-15 12:00:34,653: 'm'
2021-04-15 12:00:34,767: 'a'
2021-04-15 12:00:34,942: 't'
2021-04-15 12:00:35,196: 'i'
2021-04-15 12:00:35,377: 'o'
2021-04-15 12:00:35,518: 'n'
2021-04-15 12:00:35,828: ':'
2021-04-15 12:00:36,536: Key.enter
